CAS Number,Chemical Name,Chemical Analysis,Test Method,Exposure Type,Media Type,Conc 1 Type (Standardized),Conc 1 Mean (Standardized),Conc Min 1 (Standardized),Conc 1 Max (Standardized),Effect,Effect Measurement,Chemical DTXSID,log_LC50
56371,"N-Benzyl-N,N-diethylethanaminium chloride",Measured,Not coded,Flow-through,Fresh water,Active ingredient,161.0,141.0,185.0,Mortality,Mortality,DTXSID9021710,2.206825876031849
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Not coded,United States Environmental Protection Agency,Static,Fresh water,Active ingredient,1.4,,,Mortality,Mortality,DTXSID7021100,0.146128035678238
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Measured,Not coded,Flow-through,Fresh water,Active ingredient,1.41,,,Mortality,Mortality,DTXSID7021100,0.1492191126553798
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Measured,Not coded,Static,Fresh water,Active ingredient,1.6,1.25,2.05,Mortality,Mortality,DTXSID7021100,0.2041199826559248
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Not reported,Not coded,Static,Fresh water,Active ingredient,2.35,1.76,3.12,Mortality,Mortality,DTXSID7021100,0.3710678622717362
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,1.4,,,Mortality,Mortality,DTXSID7021100,0.146128035678238
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Not coded,United States Environmental Protection Agency,Static,Fresh water,Active ingredient,1.3,,,Mortality,Mortality,DTXSID7021100,0.1139433523068367
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Measured,Not coded,Flow-through,Fresh water,Active ingredient,1.41,,,Mortality,Mortality,DTXSID7021100,0.1492191126553798
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Measured,Not coded,Flow-through,Fresh water,Active ingredient,0.5,0.24,1.03,Mortality,Mortality,DTXSID7021100,-0.3010299956639812
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,3.6,,,Mortality,Mortality,DTXSID7021100,0.5563025007672873
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Measured,Not coded,Flow-through,Fresh water,Active ingredient,1.6,1.25,2.05,Mortality,Mortality,DTXSID7021100,0.2041199826559248
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Unmeasured,Not coded,Static,Fresh water,Formulation,3.0,,,Mortality,Mortality,DTXSID7021100,0.4771212547196624
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,1.6,,,Mortality,Mortality,DTXSID7021100,0.2041199826559248
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Measured,Not coded,Flow-through,Fresh water,Active ingredient,0.5,0.24,1.03,Mortality,Mortality,DTXSID7021100,-0.3010299956639812
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,1.3,,,Mortality,Mortality,DTXSID7021100,0.1139433523068367
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Not reported,Not coded,Static,Fresh water,Active ingredient,2.09,1.42,3.11,Mortality,Mortality,DTXSID7021100,0.3201462861110539
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,1.786,,,Mortality,Mortality,DTXSID7021100,0.2518814545525276
56382,"Phosphorothioic acid, O,O-Diethyl-O-(4-nitrophenyl)ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,2.7,,,Mortality,Mortality,DTXSID7021100,0.4313637641589873
56724,"Phosphorothioic acid O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,18.0,,,Mortality,Mortality,DTXSID2020347,1.255272505103306
56724,"Phosphorothioic acid O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,18.0,,,Mortality,Mortality,DTXSID2020347,1.255272505103306
56724,"Phosphorothioic acid O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,18.0,,,Mortality,Mortality,DTXSID2020347,1.255272505103306
56724,"Phosphorothioic acid O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl ester",Unmeasured,Not coded,Static,Fresh water,Active ingredient,18.0,,,Mortality,Mortality,DTXSID2020347,1.255272505103306
57067,3-Isothiocyanato-1-propene,Measured,Not coded,Flow-through,Fresh water,Active ingredient,0.0856,,,Mortality,Mortality,DTXSID3020047,-1.0675262353228467
57147,"1,1-Dimethylhydrazine",Measured,American Society for Testing and Materials,Flow-through,Fresh water,Active ingredient,7.75,7.06,8.52,Mortality,Mortality,DTXSID1020516,0.8893017025063102
57147,"1,1-Dimethylhydrazine",Measured,Not coded,Flow-through,Fresh water,Active ingredient,7.85,7.16,8.62,Mortality,Mortality,DTXSID1020516,0.8948696567452525
57158,"1,1,1-Trichloro-2-methyl-2-propanol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,135.0,130.0,141.0,Mortality,Mortality,DTXSID1041217,2.130333768495006
